Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1554410226.443	   133.701	0	3713	0	0	export OMP_NUM_THREADS=1 && ./diffring params.ini
2	:	1554410360.152	    69.289	0	3713	0	0	export OMP_NUM_THREADS=2 && ./diffring params.ini
3	:	1554410429.508	    47.662	0	3713	0	0	export OMP_NUM_THREADS=3 && ./diffring params.ini
4	:	1554410477.176	    37.159	0	3713	0	0	export OMP_NUM_THREADS=4 && ./diffring params.ini
5	:	1554410514.341	    31.463	0	3713	0	0	export OMP_NUM_THREADS=5 && ./diffring params.ini
6	:	1554410545.810	    28.683	0	3713	0	0	export OMP_NUM_THREADS=6 && ./diffring params.ini
7	:	1554410574.497	    27.814	0	3713	0	0	export OMP_NUM_THREADS=7 && ./diffring params.ini
8	:	1554410602.318	    24.401	0	3713	0	0	export OMP_NUM_THREADS=8 && ./diffring params.ini
9	:	1554410626.725	    22.777	0	3713	0	0	export OMP_NUM_THREADS=9 && ./diffring params.ini
10	:	1554410649.507	    21.299	0	3713	0	0	export OMP_NUM_THREADS=10 && ./diffring params.ini
11	:	1554410670.812	    20.302	0	3713	0	0	export OMP_NUM_THREADS=11 && ./diffring params.ini
12	:	1554410691.118	    19.388	0	3713	0	0	export OMP_NUM_THREADS=12 && ./diffring params.ini
13	:	1554410710.512	    19.330	0	3713	0	0	export OMP_NUM_THREADS=13 && ./diffring params.ini
14	:	1554410729.848	    19.330	0	3713	0	0	export OMP_NUM_THREADS=14 && ./diffring params.ini
15	:	1554410749.184	    18.707	0	3713	0	0	export OMP_NUM_THREADS=15 && ./diffring params.ini
16	:	1554410767.896	    18.042	0	3713	0	0	export OMP_NUM_THREADS=16 && ./diffring params.ini
